epoch, wall_time, smooth_loss, train_loss, train_std_dev, val_loss, val_std_dev
155, 2.30652e+02, 6.68466e-01, 6.64124e-01, 7.14002e-01, 6.70016e-01, 8.23067e-01
156, 2.32101e+02, 6.68012e-01, 6.72389e-01, 7.13893e-01, 6.64255e-01, 7.82449e-01
157, 2.33576e+02, 6.67670e-01, 6.73659e-01, 7.16418e-01, 6.56244e-01, 8.22266e-01
158, 2.35126e+02, 6.67302e-01, 6.72745e-01, 7.14253e-01, 6.57604e-01, 8.29457e-01
159, 2.36715e+02, 6.66746e-01, 6.68920e-01, 7.21958e-01, 6.55344e-01, 8.15994e-01
160, 2.38285e+02, 6.66327e-01, 6.70948e-01, 7.20541e-01, 6.67261e-01, 8.24483e-01
161, 2.39814e+02, 6.65487e-01, 6.63091e-01, 7.27016e-01, 6.52354e-01, 8.24439e-01
162, 2.41355e+02, 6.65601e-01, 6.79403e-01, 7.11904e-01, 6.61074e-01, 8.13188e-01
163, 2.43005e+02, 6.65233e-01, 6.70697e-01, 7.13712e-01, 6.56002e-01, 8.13363e-01
164, 2.44501e+02, 6.64997e-01, 6.72568e-01, 7.28465e-01, 6.57573e-01, 8.20650e-01
165, 2.46017e+02, 6.64702e-01, 6.71203e-01, 7.16220e-01, 6.56887e-01, 8.23010e-01
166, 2.47513e+02, 6.64085e-01, 6.64901e-01, 7.06274e-01, 6.56443e-01, 8.11273e-01
167, 2.49014e+02, 6.63658e-01, 6.67967e-01, 7.12512e-01, 6.63857e-01, 8.03557e-01
168, 2.50577e+02, 6.62945e-01, 6.62332e-01, 7.31034e-01, 6.51069e-01, 8.34802e-01
169, 2.52150e+02, 6.62568e-01, 6.67575e-01, 7.10929e-01, 6.45883e-01, 8.26413e-01
170, 2.53702e+02, 6.62109e-01, 6.65803e-01, 7.06315e-01, 6.43392e-01, 8.14091e-01
171, 2.55233e+02, 6.61764e-01, 6.67170e-01, 7.08723e-01, 6.56247e-01, 8.14352e-01
172, 2.56824e+02, 6.60992e-01, 6.59367e-01, 7.10790e-01, 6.48350e-01, 7.99895e-01
173, 2.58373e+02, 6.60789e-01, 6.69005e-01, 7.11898e-01, 6.55326e-01, 8.12292e-01
174, 2.59912e+02, 6.60650e-01, 6.69765e-01, 7.21345e-01, 6.55472e-01, 8.06834e-01
175, 2.61515e+02, 6.60340e-01, 6.66813e-01, 7.00439e-01, 6.47040e-01, 8.04821e-01
176, 2.63048e+02, 6.60318e-01, 6.71364e-01, 7.03797e-01, 6.48906e-01, 7.95496e-01
177, 2.64599e+02, 6.59609e-01, 6.58965e-01, 6.95084e-01, 6.57081e-01, 7.90985e-01
178, 2.66142e+02, 6.58945e-01, 6.59298e-01, 6.94008e-01, 6.48850e-01, 7.91000e-01
179, 2.67675e+02, 6.58724e-01, 6.66394e-01, 6.94259e-01, 6.46619e-01, 8.04039e-01
180, 2.69222e+02, 6.58558e-01, 6.67176e-01, 7.13087e-01, 6.45199e-01, 8.20172e-01
181, 2.70792e+02, 6.58323e-01, 6.65851e-01, 6.96239e-01, 6.45081e-01, 8.08281e-01
182, 2.72379e+02, 6.57795e-01, 6.60358e-01, 7.31034e-01, 6.54190e-01, 8.45177e-01
183, 2.74036e+02, 6.57732e-01, 6.68171e-01, 6.99145e-01, 6.55481e-01, 7.93924e-01
184, 2.75597e+02, 6.58092e-01, 6.75596e-01, 7.05497e-01, 6.50274e-01, 7.90413e-01
185, 2.77147e+02, 6.57714e-01, 6.62957e-01, 7.03595e-01, 6.51505e-01, 8.05622e-01
186, 2.78689e+02, 6.57495e-01, 6.65300e-01, 6.95427e-01, 6.56789e-01, 8.08190e-01
187, 2.80222e+02, 6.57372e-01, 6.66834e-01, 6.91656e-01, 6.49169e-01, 7.90617e-01
188, 2.81800e+02, 6.56774e-01, 6.58057e-01, 7.01030e-01, 6.45024e-01, 8.01987e-01
189, 2.83420e+02, 6.56402e-01, 6.61378e-01, 6.90284e-01, 6.41435e-01, 7.97796e-01
190, 2.85061e+02, 6.55887e-01, 6.58551e-01, 6.86347e-01, 6.47639e-01, 7.75898e-01
191, 2.86639e+02, 6.54864e-01, 6.48652e-01, 7.08898e-01, 6.55457e-01, 7.85826e-01
192, 2.88194e+02, 6.54366e-01, 6.57154e-01, 6.87028e-01, 6.52068e-01, 8.03986e-01
193, 2.89780e+02, 6.53942e-01, 6.58239e-01, 6.85950e-01, 6.42295e-01, 7.70973e-01
194, 2.91378e+02, 6.53282e-01, 6.53512e-01, 6.89904e-01, 6.49203e-01, 7.91824e-01
195, 2.92773e+02, 6.52801e-01, 6.55991e-01, 6.85590e-01, 6.42958e-01, 7.79842e-01
196, 2.94229e+02, 6.52156e-01, 6.52549e-01, 6.92322e-01, 6.40254e-01, 7.77059e-01
197, 2.95715e+02, 6.51376e-01, 6.49680e-01, 7.05918e-01, 6.35477e-01, 8.08286e-01
198, 2.97166e+02, 6.51060e-01, 6.57151e-01, 6.88934e-01, 6.47250e-01, 7.85921e-01
199, 2.98656e+02, 6.50425e-01, 6.51031e-01, 6.85812e-01, 6.49580e-01, 7.54050e-01
200, 3.00090e+02, 6.50020e-01, 6.54675e-01, 7.07526e-01, 6.45009e-01, 8.05563e-01
201, 3.01530e+02, 6.49546e-01, 6.53114e-01, 6.88265e-01, 6.42797e-01, 7.90450e-01
202, 3.03023e+02, 6.49190e-01, 6.54370e-01, 6.81623e-01, 6.53383e-01, 7.73787e-01
203, 3.04397e+02, 6.49381e-01, 6.64011e-01, 6.85831e-01, 6.53023e-01, 7.77046e-01
204, 3.05857e+02, 6.48648e-01, 6.47691e-01, 6.79098e-01, 6.60919e-01, 7.69962e-01
205, 3.07331e+02, 6.48369e-01, 6.54889e-01, 6.81706e-01, 6.44988e-01, 7.65095e-01
206, 3.08834e+02, 6.48270e-01, 6.57914e-01, 6.88048e-01, 6.44498e-01, 7.86545e-01
207, 3.10338e+02, 6.47920e-01, 6.53450e-01, 6.79478e-01, 6.44126e-01, 7.62510e-01
208, 3.11856e+02, 6.47528e-01, 6.52335e-01, 6.81083e-01, 6.47093e-01, 7.64414e-01
209, 3.13329e+02, 6.47829e-01, 6.64455e-01, 6.84726e-01, 6.49754e-01, 7.76152e-01
210, 3.14781e+02, 6.47727e-01, 6.57242e-01, 6.76614e-01, 6.45530e-01, 7.92271e-01
211, 3.16202e+02, 6.47314e-01, 6.51590e-01, 6.88573e-01, 6.59188e-01, 7.92509e-01
212, 3.17620e+02, 6.46745e-01, 6.48408e-01, 6.78471e-01, 6.46342e-01, 7.81080e-01
213, 3.19064e+02, 6.46444e-01, 6.52536e-01, 6.71621e-01, 6.55013e-01, 7.64689e-01
214, 3.20532e+02, 6.46364e-01, 6.56414e-01, 6.82852e-01, 6.40873e-01, 7.82646e-01
215, 3.21900e+02, 6.46083e-01, 6.52511e-01, 6.90604e-01, 6.48167e-01, 7.95310e-01
216, 3.23382e+02, 6.45628e-01, 6.49290e-01, 6.74892e-01, 6.53440e-01, 7.60470e-01
217, 3.24857e+02, 6.45245e-01, 6.50092e-01, 6.73911e-01, 6.47580e-01, 7.66606e-01
218, 3.26310e+02, 6.45374e-01, 6.58897e-01, 6.73469e-01, 6.47135e-01, 7.74442e-01
219, 3.27819e+02, 6.45368e-01, 6.56684e-01, 6.62208e-01, 6.41803e-01, 7.61868e-01
220, 3.29337e+02, 6.44536e-01, 6.41805e-01, 6.77726e-01, 6.45614e-01, 7.85625e-01
221, 3.30908e+02, 6.44131e-01, 6.48706e-01, 6.81263e-01, 6.44607e-01, 7.71439e-01
222, 3.32339e+02, 6.43501e-01, 6.44236e-01, 6.70924e-01, 6.53845e-01, 7.71747e-01
223, 3.33799e+02, 6.43349e-01, 6.51854e-01, 6.66716e-01, 6.51235e-01, 7.71405e-01
224, 3.35245e+02, 6.42887e-01, 6.46438e-01, 6.72865e-01, 6.41476e-01, 7.69112e-01
225, 3.36755e+02, 6.42522e-01, 6.47542e-01, 6.65207e-01, 6.46262e-01, 7.64576e-01
226, 3.38167e+02, 6.42464e-01, 6.52887e-01, 6.65362e-01, 6.45510e-01, 7.60323e-01
227, 3.39651e+02, 6.42765e-01, 6.59342e-01, 6.70928e-01, 6.46739e-01, 7.65479e-01
228, 3.41212e+02, 6.42649e-01, 6.51846e-01, 6.72632e-01, 6.50499e-01, 7.73699e-01
229, 3.42832e+02, 6.42677e-01, 6.54336e-01, 6.77750e-01, 6.33541e-01, 7.80474e-01
230, 3.44351e+02, 6.42221e-01, 6.45558e-01, 6.75768e-01, 6.40397e-01, 7.70710e-01
231, 3.45892e+02, 6.42251e-01, 6.53742e-01, 6.72100e-01, 6.51532e-01, 7.75815e-01
232, 3.47408e+02, 6.41892e-01, 6.46817e-01, 6.64711e-01, 6.41349e-01, 7.57751e-01
233, 3.48966e+02, 6.41441e-01, 6.45243e-01, 6.73020e-01, 6.42731e-01, 7.75018e-01
234, 3.50490e+02, 6.41386e-01, 6.51726e-01, 6.69635e-01, 6.40657e-01, 7.50942e-01
235, 3.51984e+02, 6.41904e-01, 6.62058e-01, 6.79562e-01, 6.57825e-01, 7.77580e-01
236, 3.53465e+02, 6.41304e-01, 6.42245e-01, 6.56342e-01, 6.35747e-01, 7.64833e-01
237, 3.54889e+02, 6.41029e-01, 6.47667e-01, 6.64123e-01, 6.41215e-01, 7.62621e-01
238, 3.56246e+02, 6.41130e-01, 6.54088e-01, 6.69577e-01, 6.45095e-01, 7.55117e-01
239, 3.57784e+02, 6.41106e-01, 6.52069e-01, 6.60555e-01, 6.33561e-01, 7.53630e-01
240, 3.59173e+02, 6.40460e-01, 6.40599e-01, 6.64743e-01, 6.50788e-01, 7.57100e-01
241, 3.60642e+02, 6.40062e-01, 6.44603e-01, 6.63055e-01, 6.51741e-01, 7.72981e-01
242, 3.62127e+02, 6.39241e-01, 6.36647e-01, 6.72840e-01, 6.40483e-01, 7.83173e-01
243, 3.63628e+02, 6.39305e-01, 6.51662e-01, 6.65580e-01, 6.42699e-01, 7.77417e-01
244, 3.65209e+02, 6.39294e-01, 6.50350e-01, 6.57332e-01, 6.39511e-01, 7.49210e-01
245, 3.66707e+02, 6.38671e-01, 6.39166e-01, 6.54318e-01, 6.45710e-01, 7.46377e-01
246, 3.68223e+02, 6.38617e-01, 6.49072e-01, 6.59089e-01, 6.50917e-01, 7.57208e-01
